"Connection", "Skill"
1, "E-commerce, Online Travel, Tourism, Hotels, Leisure, Revenue Analysis, Tour Operators, Travel Management, New Business Development."
2, " "
3, "Solution Selling, Enterprise Software, Security, Major Accounts, CRM, VMware."
4, "E-commerce, Online Marketing, Start-ups, Marketing Management, Strategy, Online Advertising."
5, "Information Security, IT Audit, CISM, CISA, Security, Information Security...."
6, "Start-ups, Entrepreneurship, Mobile Applications, Cloud Computing, Mobile Internet, Strategic Partnerships, Mobile Marketing, Integration, Managed Services, Wireless, International Business, Strategic Planning."
7, "Internal Audit, Fraud, Forensic Accounting, Internal Controls, Auditing, FCPA, Due Diligence, Sarbanes-Oxley Act, Consolidation, Investigation, Litigation Support, Restructuring."
8, "Program Management, Governance, Leadership, Project Management, Information Security, Security."
9, "Digital Marketing, Digital Media, Social Media, Mobile Marketing."
10, "Executive Coaching, Workshop Facilitation, Training Delivery, Leadership Development, Management Consulting, Change Management, Strategy."
11, " "
12, "CISA, Governance, Information Security, Risk Management, CISM, IT Audit."
13, "Robotics, University Teaching, Lecturing, Research, Science, Teaching."
14, "Strategy, Enterprise Software, ITIL, Data Center, CRM, Outsourcing, Information Security."
15, "Strategy, Recruiting, Management Consulting, Consulting."
16, "Executive Search, Talent Management, Recruiting, Marketing, Talent Acquisition, Sourcing."
17, "Video Games, Mobile Games, Xbox 360, Game Development, Social Games, Online Gaming, Photoshop."
18, "Executive Search, Recruiting, Business Development, Networking, Technical Recruiting, Human Resources, Telecommunications, Information Technology."
19, "Business Development, Product Development, Sales Management, Strategic Planning, Market Development."
20, "Business Development, Team Leadership, Change Management, Project Management, Cloud Computing, Executive Search, Leadership, Interviews, Analytics."
21, "Security, Information Security, CISSP, PCI DSS."
22, "GoToMarket, Strategic Partnerships, Ad Serving, Content Development, International Business..., Digital Marketing, Establish & Maintain...."
23, "Enterprise Software, Partner Management, Channel Partners, Cloud Computing, Solution Selling, SaaS, Go-to-market Strategy, Business Alliances."
24, "Recruiting, Executive Search, Contract Recruitment, Technical Recruiting, Human Resources, Finance, Talent Acquisition, Leadership."
25, "Project Management, IT Management."
26, "Coaching, Change Management."
27, "Social Media, Online Publishing, Publishing, Editorial, Content Strategy, Management, Digital Media, Public Relations."
28, "Android, Mobile Devices, Web Applications, Software Development, Mobile Applications, Cloud Computing, Web Development, Entrepreneurship, Objective-C."
29, " "
30, "Management Consulting, Project Management."
31, "Risk Assessment, Enterprise Risk..., IT Audit, Auditing, Internal Audit, CISA, Financial Analysis, Accounting, Information Security, IT Risk Management, Governance, Internet Banking, Risk Management, Financial Risk, Credit Risk, Banking, Accounting Applications, Corporate Finance, Assurance, Sarbanes-Oxley Act, Banking Applications."
32, "Solution Selling, Enterprise Software, Cloud Computing, Professional Services, SaaS, Pre-sales."
33, "Talent Acquisition, Recruiting, Executive Search, Talent Management, Technical Recruiting, Sourcing, Project Management, Vendor Management."
34, "Cloud Computing, Telecommunications, Managed Services, Pre-sales, Networking, Solution Architecture, Team Management, Infrastructure."
35, " "
36, "Data Center, Business Development, Cloud Computing, Business Continuity, Direct Sales, Telecommunications, Solution Selling."
37, "Software Development, Linux, MySQL, JavaScript, SQL, Java, Web Development, Python, Project Management, Databases, XML, CSS, Programming."
38, "Digital Strategy, Digital Marketing, Marketing Strategy, Social Media Marketing, Marketing Management, Brand Management, Email Marketing, Marketing Communications, Online Advertising, Social Media, Online Marketing, SEO, E-commerce, Customer Insight, Integrated Marketing."
