"Connection", "Skill"
1, "E-commerce, Online Travel, Tourism, Hotels, Leisure, Revenue Analysis, Tour Operators, Travel Management, New Business Development."
2, " "
3, "Solution Selling, Enterprise Software, Security, Major Accounts, CRM, VMware."
4, "E-commerce, Online Marketing, Start-ups, Marketing Management, Strategy, Online Advertising."
5, "Information Security, IT Audit, CISM, CISA, Security, Information Security...."
6, " "
7, "Start-ups, Entrepreneurship, Mobile Applications, Cloud Computing, Mobile Internet, Strategic Partnerships, Mobile Marketing, Integration, Managed Services, Wireless, International Business, Strategic Planning."
8, "Internal Audit, Fraud, Forensic Accounting, Internal Controls, Auditing, FCPA, Due Diligence, Sarbanes-Oxley Act, Consolidation, Investigation, Litigation Support, Restructuring, Risk Assessment."
9, "Program Management, Governance, Leadership, Project Management, Information Security, Security."
10, "Digital Marketing, Digital Media, Social Media, Mobile Marketing."
11, "Executive Coaching, Workshop Facilitation, Training Delivery, Leadership Development, Management Consulting, Change Management, Strategy."
12, " "
13, "CISA, Governance, Information Security, Risk Management, CISM, IT Audit."
14, "Robotics, University Teaching, Lecturing, Research, Science, Teaching."
15, "Strategy, Enterprise Software, ITIL, Data Center, CRM, Outsourcing, Information Security."
16, "Strategy, Recruiting, Management Consulting, Consulting."
17, "Executive Search, Talent Management, Recruiting, Marketing, Talent Acquisition, Sourcing."
18, "Video Games, Mobile Games, Xbox 360, Game Development, Social Games, Online Gaming, Photoshop."
19, "Executive Search, Recruiting, Business Development, Networking, Technical Recruiting, Human Resources, Telecommunications, Information Technology."
20, "Business Development, Product Development, Sales Management, Strategic Planning, Market Development."
21, "Business Development, Team Leadership, Change Management, Project Management, Cloud Computing, Executive Search, Leadership, Interviews, Analytics."
22, "Information Security, Security, CISSP, PCI DSS."
23, "GoToMarket, Strategic Partnerships, Ad Serving, Content Development, International Business..., Digital Marketing, Establish & Maintain...."
24, "Enterprise Software, Partner Management, Channel Partners, Cloud Computing, Solution Selling, SaaS, Go-to-market Strategy, Business Alliances."
25, "Recruiting, Executive Search, Contract Recruitment, Technical Recruiting, Human Resources, Finance, Leadership, Talent Acquisition."
26, "Project Management, IT Management."
27, "Coaching, Change Management."
28, "Social Media, Online Publishing, Publishing, Editorial, Content Strategy, Management, Digital Media, Public Relations."
29, "Android, Mobile Devices, Web Applications, Software Development, Mobile Applications, Cloud Computing, Web Development."
30, " "
31, "Management Consulting, Project Management."
32, "Risk Assessment, Enterprise Risk..., IT Audit, Auditing, Internal Audit, CISA, Financial Analysis, Accounting, Information Security, IT Risk Management, Governance, Internet Banking, Risk Management, Financial Risk, Credit Risk, Banking, Accounting Applications, Corporate Finance, Assurance, Sarbanes-Oxley Act, Banking Applications."
33, "Solution Selling, Enterprise Software, Cloud Computing, Professional Services, SaaS, Pre-sales."
34, "Talent Acquisition, Recruiting, Executive Search, Talent Management, Technical Recruiting, Sourcing, Project Management, Vendor Management."
35, "Cloud Computing, Telecommunications, Managed Services, Pre-sales, Networking, Solution Architecture, Team Management, Infrastructure."
36, " "
37, "Data Center, Business Development, Cloud Computing, Business Continuity, Direct Sales, Telecommunications, Solution Selling."
38, "Software Development, Linux, MySQL, JavaScript, SQL, Java, Web Development, Python, Project Management, Databases, XML, CSS, Programming."
39, "Digital Strategy, Digital Marketing, Marketing Strategy, Social Media Marketing, Marketing Management, Brand Management, Email Marketing, Marketing Communications, Online Advertising, Social Media, Online Marketing, SEO, E-commerce, Customer Insight, Integrated Marketing."
40, "SDLC, Project Portfolio...."
