"age", "gender", "signed_in", "avg_click", "avg_impressions", "max_click", "max_impressions"
0, 0, 0, 0.142, 5.000, 4, 18
36, 0, 1, 0.050, 5.004, 2, 14
73, 1, 1, 0.147, 5.010, 2, 13
30, 0, 1, 0.054, 5.001, 2, 14
49, 1, 1, 0.046, 4.989, 2, 16
47, 1, 1, 0.049, 5.093, 2, 16
47, 0, 1, 0.051, 5.002, 2, 17
46, 0, 1, 0.060, 5.008, 2, 15
16, 0, 1, 0.159, 4.914, 2, 16
52, 0, 1, 0.051, 4.993, 2, 13
21, 0, 1, 0.049, 5.059, 2, 14
57, 0, 1, 0.099, 5.036, 2, 15
31, 0, 1, 0.049, 5.009, 2, 13
40, 1, 1, 0.048, 5.084, 2, 15
31, 1, 1, 0.057, 5.001, 2, 15
38, 0, 1, 0.052, 4.982, 2, 14
59, 1, 1, 0.102, 5.008, 3, 13
61, 0, 1, 0.102, 4.984, 3, 13
48, 0, 1, 0.057, 5.048, 2, 14
29, 1, 1, 0.043, 4.905, 2, 15
19, 1, 1, 0.050, 4.965, 2, 16
19, 0, 1, 0.046, 5.076, 2, 17
48, 1, 1, 0.051, 4.934, 2, 14
21, 1, 1, 0.049, 5.056, 2, 14
23, 0, 1, 0.053, 5.019, 2, 15
66, 1, 1, 0.161, 5.092, 2, 13
23, 1, 1, 0.048, 5.018, 2, 14
44, 1, 1, 0.046, 5.047, 2, 15
32, 0, 1, 0.053, 5.012, 2, 15
22, 1, 1, 0.050, 5.018, 2, 14
30, 1, 1, 0.058, 5.009, 2, 14
74, 0, 1, 0.166, 5.075, 2, 14
65, 1, 1, 0.142, 5.057, 3, 13
32, 1, 1, 0.052, 5.015, 2, 14
63, 1, 1, 0.110, 4.945, 2, 13
36, 1, 1, 0.047, 4.984, 3, 14
35, 0, 1, 0.049, 5.015, 2, 14
73, 0, 1, 0.161, 4.966, 2, 14
33, 0, 1, 0.052, 4.998, 2, 13
34, 0, 1, 0.060, 5.045, 1, 17
43, 1, 1, 0.055, 4.977, 2, 17
22, 0, 1, 0.048, 4.979, 2, 14
18, 1, 1, 0.087, 4.951, 2, 17
17, 1, 1, 0.150, 5.024, 3, 15
62, 0, 1, 0.101, 5.037, 2, 14
27, 0, 1, 0.048, 4.998, 2, 13
11, 0, 1, 0.129, 4.914, 2, 13
42, 0, 1, 0.052, 4.983, 2, 16
41, 0, 1, 0.051, 4.998, 2, 14
14, 0, 1, 0.132, 4.991, 2, 14
64, 1, 1, 0.111, 5.047, 2, 14
24, 1, 1, 0.049, 4.972, 2, 15
29, 0, 1, 0.052, 5.001, 2, 15
26, 1, 1, 0.051, 5.014, 2, 13
18, 0, 1, 0.081, 5.009, 2, 16
39, 1, 1, 0.053, 5.028, 2, 14
61, 1, 1, 0.101, 5.039, 2, 14
71, 0, 1, 0.150, 5.000, 3, 13
43, 0, 1, 0.047, 4.998, 2, 14
62, 1, 1, 0.106, 5.026, 2, 16
49, 0, 1, 0.047, 4.976, 2, 16
45, 1, 1, 0.059, 5.018, 2, 14
39, 0, 1, 0.046, 5.087, 2, 15
28, 0, 1, 0.051, 5.059, 2, 16
59, 0, 1, 0.099, 5.022, 3, 13
83, 1, 1, 0.169, 4.966, 3, 11
14, 1, 1, 0.135, 5.056, 3, 15
79, 0, 1, 0.179, 5.033, 2, 14
67, 0, 1, 0.148, 5.011, 2, 15
51, 1, 1, 0.051, 5.040, 2, 15
60, 1, 1, 0.100, 5.020, 3, 15
60, 0, 1, 0.104, 4.993, 2, 13
58, 1, 1, 0.088, 5.045, 2, 14
53, 0, 1, 0.049, 4.964, 2, 14
